,max_msd,mean_msd,positive_ratio,negative_ratio,positive_combo,negative_combo
135,0.23570226039551584,0.005814305241461937,0.1529808773903262,0.05061867266591676,2,0
136,0.23570226039551584,0.015677819799681674,0.11176470588235295,0.11176470588235295,0,0
137,0.3771236166328253,0.03295218297539007,0.21305418719211822,0.312807881773399,0,1
138,0.2357022603955158,0.005810784670965105,0.16579497907949792,0.20972803347280336,0,1
139,0.3535533905932738,0.023867914750773874,0.27373527373527373,0.2765072765072765,0,1
140,0.38183766184073564,0.016781856034847567,0.09722222222222222,0.1919191919191919,0,0
141,0.2357022603955158,0.02130592571987868,0.09465020576131687,0.18106995884773663,0,0
142,0.1767766952966369,0.005729705874898264,0.0639269406392694,0.08447488584474885,0,0
143,0.47140452079103173,0.031125785132818343,0.1301775147928994,0.21301775147928995,0,0
144,0.04398372537737751,0.005142843301407067,0.5147058823529411,0.31029411764705883,11,1
145,0.23570226039551584,0.019926923135300027,0.11224489795918367,0.16666666666666666,0,0
146,0.1767766952966369,0.009861829836686386,0.17835616438356164,0.07698630136986301,2,0
147,0.3240906080438344,0.02532167714082803,0.1318407960199005,0.27611940298507465,0,0
148,0.28059792904228076,0.027849611571575682,0.22660944206008585,0.336480686695279,0,3
149,0.17677669529663687,0.012025894438539178,0.2590120160213618,0.3671562082777036,0,3
150,0.21606040536255616,0.01720494927759431,0.18674698795180722,0.1963855421686747,0,0
151,0.2357022603955158,0.014983290879203985,0.24345883854499042,0.31971920867900444,4,10
152,0.043607154437500496,0.008018164663429262,0.14285714285714285,0.047619047619047616,0,0
153,0.12963624321753367,0.009382683156089597,0.085,0.295,0,0
154,0.23570226039551584,0.007254802027950407,0.14473684210526316,0.13464912280701755,0,0
155,0.38890872965260115,0.03152238050955608,0.11195928753180662,0.19592875318066158,0,1
156,0.1767766952966369,0.015928339611468646,0.12286689419795221,0.4232081911262799,0,0
157,0.10478291458926926,0.004621730567506632,0.4196113074204947,0.5468197879858657,9,18
158,0.2725307385823153,0.03416904719350575,0.13855421686746988,0.40963855421686746,0,4
159,0.23727360879815257,0.01361529131394806,0.2102022867194371,0.23218997361477572,0,0
160,0.11558476230933945,0.005285335655079205,0.09191176470588236,0.058823529411764705,0,0
161,0.18702461966165929,0.015863558373934578,0.20394133822181484,0.3973418881759853,1,12
162,0.22324371234603857,0.012454746044540938,0.296875,0.44583333333333336,2,5
163,0.2651650429449553,0.0068479714484772,0.10364145658263306,0.03361344537815126,0,0
164,0.2357022603955158,0.020740275952743904,0.15728900255754474,0.159846547314578,0,0
165,0.16499158227686103,0.01199567347972092,0.18788627935723115,0.49443757725587145,0,14
